threads,mem,time
4,1G,19.935
4,1G,2.120
4,1G,2.122
4,1G,20.256
2,1G,22.535
2,1G,28.981
2,1G,26.509
2,1G,26.513
8,1G,16.224
8,1G,18.203
8,1G,1.907
8,1G,17.362
16,1G,1.782
16,1G,1.766
16,1G,1.769
16,1G,1.768
1,1500M,237.506
1,1500M,226.251
1,1500M,226.273
1,1500M,225.137
2,1500M,26.313
2,1500M,38.219
2,1500M,14.830
2,1500M,24.043
4,1500M,2.079
4,1500M,2.013
4,1500M,2.014
4,1500M,2.031
8,1500M,2.908
8,1500M,8.972
8,1500M,17.543
8,1500M,2.101
16,1500M,1.981
16,1500M,1.932
16,1500M,2.113
16,1500M,2.043
2,512M,7.933
2,512M,8.226
2,512M,8.333
2,512M,8.324
4,512M,2.147
4,512M,2.005
4,512M,2.005
4,512M,2.015
8,512M,1.871
8,512M,1.937
8,512M,1.867
8,512M,1.863
16,512M,1.957
16,512M,2.054
16,512M,2.037
16,512M,1.954
